,arc_i_j,origen,destino,demanda,prob_fallo,arc,latitud_o,longitud_o,latitud_d,longitude_d,i_o,i_d
105,"(82,78)",Lorica,Monteria,61,0.11,Lorica - Monteria,9.23764,-75.813625,8.750983,-75.878535,82,78
107,"(101,97)",Maicao,Buenavista,116,0.11,Maicao - Buenavista,11.378934,-72.248517,10.893997,-72.887421,101,97
85,"(39,34)",Honda,Villeta,67,0.11,Honda - Villeta,5.205118,-74.737081,5.011346,-74.471083,39,34
78,"(81,80)",El_Banco,El_Burro,41,0.11,El_Banco - El_Burro,9.003507,-73.973864,8.875795,-73.66139,81,80
77,"(48,43)",Duitama,Tunja,56,0.11,Duitama - Tunja,5.826895,-73.032927,5.544642,-73.357557,48,43
130,"(78,77)",Monteria,Planeta_Rica,53,0.11,Monteria - Planeta_Rica,8.750983,-75.878535,8.412749,-75.584048,78,77
69,"(30,14)",Cartago,Buga,109,0.11,Cartago - Buga,4.747221,-75.911629,3.900508,-76.302189,30,14
99,"(89,87)",La_Gloria,Carmen_de_Bolivar,104,0.11,La_Gloria - Carmen_de_Bolivar,9.792971,-74.328003,9.709395,-75.110779,89,87
160,"(96,92)",S_Juan_Cesar,La_Paz,61,0.11,S_Juan_Cesar - La_Paz,10.766667,-73.0,10.382467,-73.168945,96,92
53,"(90,89)",Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003,90,89
193,"(79,77)",Ye,Planeta_Rica,44,0.11,Ye - Planeta_Rica,8.812305,-75.508261,8.412749,-75.584048,79,77
4,"(91,88)",Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335,91,88
5,"(91,83)",Agustin_C,San_Roque,98,0.11,Agustin_C - San_Roque,10.034716,-73.237105,9.288159,-73.510852,91,83
187,"(95,92)",Valledupar,La_Paz,19,0.11,Valledupar - La_Paz,10.474245,-73.243633,10.382467,-73.168945,95,92
186,"(95,90)",Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531,95,90
185,"(43,45)",Tunja,Chiquinquira,76,0.11,Tunja - Chiquinquira,5.544642,-73.357557,5.614775,-73.819571,43,45
184,"(43,28)",Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092,43,28
183,"(43,27)",Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092,43,27
182,"(43,26)",Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092,43,26
174,"(85,81)",Sta_Ana,El_Banco,61,0.11,Sta_Ana - El_Banco,9.322961,-74.570544,9.003507,-73.973864,85,81
171,"(84,79)",Sincelejo,Ye,74,0.11,Sincelejo - Ye,9.304577,-75.390557,8.812305,-75.508261,84,79
18,"(98,94)",Barranquilla,Carreto,106,0.11,Barranquilla - Carreto,11.004107,-74.806981,10.438211,-74.911974,98,94
150,"(77,73)",Planeta_Rica,Caucasia,69,0.11,Planeta_Rica - Caucasia,8.412749,-75.584048,7.979698,-75.198563,77,73
20,"(98,93)",Barranquilla,Cartagena,110,0.11,Barranquilla - Cartagena,11.004107,-74.806981,10.391049,-75.479426,98,93
21,"(99,93)",Barranquilla,Cartagena,110,0.11,Barranquilla - Cartagena,11.004107,-74.806981,10.391049,-75.479426,99,93
19,"(99,94)",Barranquilla,Carreto,106,0.11,Barranquilla - Carreto,11.004107,-74.806981,10.438211,-74.911974,99,94
158,"(102,100)",Riohacha,Santa_Marta,160,0.11,Riohacha - Santa_Marta,11.538415,-72.916784,11.240355,-74.211023,102,100
168,"(100,99)",Santa_Marta,Barranquilla,84,0.11,Santa_Marta - Barranquilla,11.240355,-74.211023,11.004107,-74.806981,100,99
167,"(100,98)",Santa_Marta,Barranquilla,84,0.11,Santa_Marta - Barranquilla,11.240355,-74.211023,11.004107,-74.806981,100,98
166,"(83,80)",San_Roque,El_Burro,59,0.11,San_Roque - El_Burro,9.288159,-73.510852,8.875795,-73.66139,83,80
161,"(96,95)",S_Juan_Cesar,Valledupar,79,0.11,S_Juan_Cesar - Valledupar,10.766667,-73.0,10.474245,-73.243633,96,95
100,"(89,85)",La_Gloria,Sta_Ana,88,0.11,La_Gloria - Sta_Ana,9.792971,-74.328003,9.322961,-74.570544,89,85
52,"(90,88)",Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335,90,88
153,"(86,84)",Puerta_Hierro,Sincelejo,43,0.11,Puerta_Hierro - Sincelejo,9.428741,-75.230255,9.304577,-75.390557,86,84
170,"(84,82)",Sincelejo,Lorica,19,0.11,Sincelejo - Lorica,9.304577,-75.390557,9.23764,-75.813625,84,82
154,"(86,85)",Puerta_Hierro,Sta_Ana,123,0.11,Puerta_Hierro - Sta_Ana,9.428741,-75.230255,9.322961,-74.570544,86,85
196,"(35,26)",Zipaquira,Bogota,53,0.16,Zipaquira - Bogota,5.021476,-73.990955,4.710989,-74.072092,35,26
195,"(22,20)",Zarzal,La_Paila,10,0.16,Zarzal - La_Paila,4.394865,-76.072854,4.320789,-76.072075,22,20
138,"(70,69)",Pamplona,Bucaramanga,125,0.16,Pamplona - Bucaramanga,7.37823,-72.650337,7.119349,-73.122742,70,69
169,"(100,90)",Santa_Marta,Bosconia,160,0.16,Santa_Marta - Bosconia,11.240355,-74.211023,9.970362,-73.890531,100,90
108,"(65,58)",Malaga,Soata,72,0.16,Malaga - Soata,6.703858,-72.729891,6.336161,-72.68157,65,58
112,"(38,23)",Mariquita,Ibague,129,0.16,Mariquita - Ibague,5.199505,-74.886835,4.444676,-75.242438,38,23
113,"(38,24)",Mariquita,Ibague,129,0.16,Mariquita - Ibague,5.199505,-74.886835,4.444676,-75.242438,38,24
162,"(71,69)",San_Alberto,Bucaramanga,107,0.16,San_Alberto - Bucaramanga,7.761063,-73.393617,7.119349,-73.122742,71,69
135,"(76,72)",Ocana,Cucuta,197,0.16,Ocana - Cucuta,8.25205,-73.35322,7.889097,-72.49669,76,72
156,"(50,42)",Puerto_Boyaca,La_Dorada,87,0.16,Puerto_Boyaca - La_Dorada,5.977237,-74.593395,5.472709,-74.667984,50,42
197,"(35,27)",Zipaquira,Bogota,53,0.16,Zipaquira - Bogota,5.021476,-73.990955,4.710989,-74.072092,35,27
198,"(35,28)",Zipaquira,Bogota,53,0.16,Zipaquira - Bogota,5.021476,-73.990955,4.710989,-74.072092,35,28
45,"(26,29)",Bogota,Madrid,34,0.16,Bogota - Madrid,4.710989,-74.072092,4.733779,-74.262757,26,29
